Timestamp,ID,DLC,Data0,Data1,Data2,Data3,Data4,Data5,Data6,Data7,Label
0.0,0316,8,20,ea,0a,20,1a,00,7f,00,0
0.000224,0329,8,a7,7f,8c,11,2f,00,10,00,0
0.000462,0080,8,17,ea,0a,20,1a,20,43,00,0
0.000704,0081,8,84,60,00,00,00,00,53,00,0
0.000878,0120,4,00,00,00,00,00,00,00,00,0
0.001115,0153,8,80,10,ff,00,ff,40,ce,00,0
0.001366,018f,8,29,20,00,00,45,00,00,00,0
0.0016,0220,8,03,02,04,0c,00,35,10,00,0
0.001684,0153,0,00,00,00,00,00,00,00,00,0
0.001928,0153,8,80,10,ff,00,ff,40,ce,00,0
0.002167,0260,8,20,00,30,ff,93,5f,35,00,0
0.002402,02a0,8,00,60,9d,db,0c,ba,02,00,0
0.002638,0370,8,20,00,80,ff,00,00,ec,00,0
0.002882,0382,8,fe,0f,00,00,00,00,08,00,0
0.003123,043f,8,50,60,ff,4b,98,09,00,00,0
0.00337,0440,8,f0,00,00,ff,a0,09,00,00,0
0.003617,0517,8,00,00,00,00,00,00,00,00,0
0.003852,0545,8,10,00,8c,32,00,32,00,00,0
0.004095,059b,8,00,00,00,00,00,00,c4,00,0
0.005486,02b0,5,00,00,07,30,00,00,00,00,0
0.005713,0165,8,e8,7f,00,00,00,00,98,00,0
0.005957,04b1,8,01,00,00,00,00,00,01,00,0
0.006204,0164,8,08,00,00,00,00,01,09,00,0
0.009778,04f0,8,00,e6,00,00,ce,d2,04,00,0
0.009958,0316,8,20,ea,0a,20,1a,00,7f,00,0
0.010193,0329,8,a7,7f,8c,11,2f,00,10,00,0
0.010429,0080,8,17,ea,0a,20,1a,20,34,00,0
0.010669,0081,8,84,60,00,00,00,00,44,00,0
0.010908,0153,8,80,10,ff,00,ff,50,de,00,0
0.01115,018f,8,29,20,00,00,45,00,00,00,0
0.011398,01f1,8,00,00,00,00,00,00,00,00,0
0.011644,0220,8,03,06,04,0c,00,3a,10,00,0
0.011909,0260,8,20,00,30,ff,93,5f,08,00,0
0.012119,02a0,8,00,60,9d,db,0c,ba,02,00,0
0.012204,0164,0,00,00,00,00,00,00,00,00,0
0.012458,0164,8,08,00,00,00,00,01,09,00,0
0.0127,0370,8,20,00,80,ff,00,00,a0,00,0
0.012942,043f,8,50,60,ff,4b,9c,09,00,00,0
0.013188,0440,8,00,00,00,ff,a0,09,00,00,0
0.013438,0510,8,00,00,00,00,00,00,00,00,0
0.01367,0545,8,10,00,8c,32,00,32,00,00,0
0.015432,02b0,5,00,00,07,11,00,00,00,00,0
0.015665,0165,8,e8,7f,00,00,00,01,99,00,0
0.01591,04b0,8,00,00,00,00,00,00,00,00,0
0.016156,0164,8,08,00,00,00,00,02,0a,00,0
0.016897,0350,8,20,24,79,7b,00,00,03,00,0
0.019768,04f2,8,00,a0,38,00,00,00,f3,00,0
0.01995,0370,8,20,00,80,ff,00,00,64,00,0
0.02019,043f,8,50,60,ff,4b,9c,09,00,00,0
0.020434,0440,8,50,00,00,ff,9c,09,00,00,0
0.020672,0153,8,80,10,ff,00,ff,60,ee,00,0
0.020913,0220,8,03,03,04,0c,00,3e,10,00,0
0.021148,0316,8,20,ea,0a,20,1a,00,7f,00,0
0.021381,0329,8,a7,7f,8c,11,2f,00,10,00,0
0.021618,0080,8,17,ea,0a,20,1a,20,25,00,0
0.021858,0081,8,84,60,00,00,00,00,35,00,0
0.022108,018f,8,29,20,00,00,45,00,00,00,0
0.02234,0260,8,20,00,30,ff,93,61,14,00,0
0.02243,01f1,0,00,00,00,00,00,00,00,00,0
0.022687,01f1,8,00,00,00,00,00,00,00,00,0
0.022927,02a0,8,00,60,9d,db,0c,ba,02,00,0
0.023169,0382,8,fe,0f,00,00,00,00,0c,00,0
0.023404,0545,8,10,00,8b,32,00,31,00,00,0
0.025518,02b0,5,00,00,07,72,00,00,00,00,0
0.025701,0165,8,e8,7f,00,00,00,02,85,00,0
0.025947,04b1,8,01,00,00,00,00,00,01,00,0
0.026197,0164,8,08,00,00,00,00,03,0b,00,0
0.029746,04f0,8,00,e8,00,00,ce,d2,04,00,0
0.029956,043f,8,50,60,ff,4b,98,09,00,00,0
0.030184,0316,8,20,9c,0a,21,1a,00,7f,00,0
0.030417,02a0,8,00,60,9d,db,0c,ba,02,00,0
0.030654,0080,8,17,9c,0a,20,1a,21,36,00,0
0.030893,0081,8,84,60,00,00,00,00,26,00,0
0.031133,0153,8,80,10,ff,00,ff,70,fe,00,0
0.031376,018f,8,29,21,00,00,45,00,00,00,0
0.031626,01f1,8,00,00,00,00,00,00,00,00,0
0.031868,0220,8,03,fc,03,0c,00,3e,10,00,0
0.0321,0260,8,21,00,30,ff,93,61,22,00,0
0.032343,0329,8,a7,7f,8c,11,2f,00,10,00,0
0.032585,0370,8,20,00,80,ff,00,00,28,00,0
0.032821,0440,8,a0,00,00,ff,98,09,00,00,0
0.03291,0220,0,00,00,00,00,00,00,00,00,0
0.033163,0220,8,03,fc,03,0c,00,3e,10,00,0
0.033403,0545,8,10,00,8a,32,00,33,00,00,0
0.033657,05a0,8,00,00,00,00,00,00,00,00,0
0.035446,02b0,5,00,00,07,33,00,00,00,00,0
0.035672,0165,8,e8,7f,00,00,00,03,84,00,0
0.035922,04b0,8,00,00,00,00,00,00,00,00,0
0.036173,0164,8,08,00,00,00,00,04,0c,00,0
0.036317,05f0,2,00,00,00,00,00,00,00,00,0
0.036895,0350,8,20,34,79,7b,00,00,13,00,0
0.037148,02c0,8,00,00,00,00,00,00,00,00,0
0.039019,05a2,4,00,a5,01,00,00,00,00,00,0
0.03984,043f,8,50,60,ff,4b,94,09,00,00,0
0.040068,0260,8,21,00,30,ff,93,61,31,00,0
0.040302,02a0,8,00,60,9d,db,0c,ba,02,00,0
0.040541,0080,8,17,9e,0a,20,1a,21,07,00,0
0.040782,0081,8,84,60,00,00,00,00,17,00,0
0.041022,0153,8,80,10,ff,00,ff,80,0e,00,0
0.041268,018f,8,29,21,00,00,45,00,00,00,0
0.041509,0220,8,03,f4,03,0c,00,3e,10,00,0
0.041739,0316,8,20,9e,0a,21,1a,00,7f,00,0
0.041975,0329,8,a7,7f,8c,11,2f,00,10,00,0
0.042211,0370,8,20,00,80,ff,00,00,ec,00,0
0.042459,0382,8,fe,0f,00,00,00,00,00,00,0
0.04271,0440,8,f0,00,00,ff,94,09,00,00,0
0.042944,04f2,8,00,a0,38,00,00,00,f4,00,0
0.043037,02c0,0,00,00,00,00,00,00,00,00,0
0.043298,02c0,8,00,00,00,00,00,00,00,00,0
0.043538,0545,8,10,00,8a,33,00,34,00,00,0
0.045391,02b0,5,00,00,07,64,00,00,00,00,0
0.045621,0165,8,e8,7f,00,00,00,04,83,00,0
0.045865,04b1,8,01,00,00,00,00,00,01,00,0
0.046112,0164,8,08,00,00,00,00,05,0d,00,0
0.049702,04f0,8,00,ea,00,00,ce,d2,04,00,0
0.049903,0316,8,20,9e,0a,21,1a,00,7f,00,0
0.050136,0329,8,a7,7f,8c,11,2f,00,10,00,0
0.050375,0080,8,17,9e,0a,20,1a,21,f8,00,0
0.050616,0081,8,84,60,00,00,00,00,08,00,0
0.050856,0110,8,3c,30,09,00,00,00,00,00,0
0.051096,0153,8,80,10,ff,00,ff,90,1e,00,0
0.05134,018f,8,29,21,00,00,45,00,00,00,0
0.051589,01f1,8,00,00,00,00,00,00,00,00,0
0.051831,0220,8,03,f6,03,09,00,3c,10,00,0
0.052069,0260,8,21,00,30,ff,93,61,04,00,0
0.052301,02a0,8,00,60,9d,db,0c,ba,02,00,0
0.052543,0370,8,20,00,80,ff,00,00,a0,00,0
0.052781,043f,8,50,60,ff,4b,94,09,00,00,0
0.053027,0440,8,00,00,00,ff,94,09,00,00,0
0.053268,0545,8,10,00,89,33,00,34,00,00,0
0.05343,04b0,0,00,00,00,00,00,00,00,00,0
0.053684,04b0,8,00,00,00,00,00,00,00,00,0
0.055377,04b0,8,00,00,00,00,00,00,00,00,0
0.055623,0164,8,08,00,00,00,00,06,0e,00,0
0.055858,0165,8,f8,7f,00,00,00,05,8d,00,0
0.056044,02b0,5,00,00,07,65,00,00,00,00,0
0.056951,0350,8,20,44,79,7b,00,00,63,00,0
0.059412,0587,8,00,00,00,00,00,00,08,00,0
0.059728,04f2,8,00,a0,38,00,00,00,f5,00,0
0.059964,0370,8,20,00,80,ff,00,00,64,00,0
0.060196,0316,8,20,9e,0a,21,1a,00,7f,00,0
0.060433,0153,8,80,10,ff,00,ff,a0,2e,00,0
0.060608,0050,4,82,00,00,00,00,00,00,00,0
0.060843,0080,8,17,9e,0a,20,1a,21,e9,00,0
0.061097,0081,8,84,60,00,00,00,00,f9,00,0
0.061329,018f,8,29,21,00,00,45,00,00,00,0
0.061568,0220,8,03,ff,03,0c,00,3b,10,00,0
0.061799,0260,8,21,00,30,ff,93,61,13,00,0
0.062034,02a0,8,00,60,9d,db,0c,ba,02,00,0
0.062272,0329,8,a7,7f,8c,11,2f,00,10,00,0
0.062518,0382,8,fe,0f,00,00,00,00,04,00,0
0.06276,043f,8,50,60,ff,4b,90,09,00,00,0
0.063005,0440,8,50,00,00,ff,90,09,00,00,0
0.063239,0545,8,10,00,89,32,00,33,00,00,0
0.063749,04b1,0,00,00,00,00,00,00,00,00,0
0.063998,04b1,8,01,00,00,00,00,00,01,00,0
0.065284,04b1,8,01,00,00,00,00,00,01,00,0
0.065532,0164,8,08,00,00,00,00,07,0f,00,0
0.065771,0165,8,e8,7f,00,00,00,06,9e,00,0
0.065956,02b0,5,00,00,07,56,00,00,00,00,0
0.066195,00a0,8,75,9c,0a,00,25,00,02,00,0
0.066434,00a1,8,86,80,80,27,00,00,00,00,0
0.069769,04f0,8,00,ec,00,00,ce,d2,04,00,0
0.069936,0370,8,20,00,80,ff,00,00,28,00,0
0.070176,02a0,8,00,60,9d,db,0c,ba,02,00,0
0.070427,0153,8,80,10,ff,00,ff,b0,3e,00,0
0.070676,0018,8,00,01,70,01,00,20,10,00,0
0.070908,0080,8,17,ce,0a,22,1a,22,7a,00,0
0.071153,0081,8,84,60,00,00,00,00,ea,00,0
0.071384,018f,8,29,22,00,00,45,00,00,00,0
0.071634,01f1,8,00,00,00,00,00,00,00,00,0
0.071874,0220,8,03,03,04,09,00,3b,10,00,0
0.072103,0260,8,22,00,30,ff,93,63,2f,00,0
0.072333,0316,8,22,ce,0a,22,1a,00,7f,00,0
0.072573,0329,8,a7,7f,8c,11,2f,00,10,00,0
0.072812,043f,8,50,60,ff,4b,90,09,00,00,0
0.073056,0440,8,a0,00,00,ff,90,09,00,00,0
0.073285,0545,8,0f,00,8c,3d,00,3d,00,00,0
0.074054,05a0,0,00,00,00,00,00,00,00,00,0
0.074307,05a0,8,00,00,00,00,00,00,00,00,0
0.075251,04b0,8,00,00,00,00,00,00,00,00,0
0.075473,0164,8,08,00,00,00,00,08,00,00,0
0.075704,0165,8,e8,7f,00,00,00,07,9f,00,0
0.075883,02b0,5,00,00,07,77,00,00,00,00,0
0.076901,0350,8,20,54,79,7b,00,00,73,00,0
0.079709,04f2,8,00,a0,38,00,00,00,f6,00,0
0.079944,0316,8,22,cc,0a,22,1a,00,7f,00,0
0.080186,0153,8,80,10,ff,00,ff,c0,4e,00,0
0.080421,0080,8,17,cc,0a,22,1a,22,8b,00,0
0.080662,0081,8,84,60,00,00,00,00,db,00,0
0.080899,018f,8,29,22,00,00,45,00,00,00,0
0.081135,0220,8,03,03,04,09,00,3b,10,00,0
0.081372,0260,8,22,00,30,ff,93,63,3e,00,0
0.081604,02a0,8,00,60,9d,db,0c,ba,02,00,0
0.081845,0329,8,a7,7f,8c,11,2f,00,10,00,0
0.082088,0370,8,20,00,80,ff,00,00,ec,00,0
0.082334,0382,8,fe,0f,00,00,00,00,08,00,0
0.082571,043f,8,50,60,ff,4b,90,09,00,00,0
0.082816,0440,8,f0,00,00,ff,90,09,00,00,0
0.083051,0545,8,0f,00,8c,3f,00,3f,00,00,0
0.08429,05a2,0,00,00,00,00,00,00,00,00,0
0.084459,05a2,4,00,a5,01,00,00,00,00,00,0
0.085122,04b1,8,01,00,00,00,00,00,01,00,0
0.085365,0164,8,08,00,00,00,00,09,01,00,0
0.085613,0165,8,e8,7f,00,00,00,08,90,00,0
0.085793,02b0,5,00,00,07,88,00,00,00,00,0
0.089853,043f,8,50,60,ff,4b,90,09,00,00,0
0.090093,0153,8,80,10,ff,00,ff,d0,5e,00,0
0.090343,01f1,8,00,00,00,00,00,00,00,00,0
0.090581,0080,8,17,cc,0a,22,1a,22,7c,00,0
0.090823,0081,8,84,60,00,00,00,00,cc,00,0
0.091061,018f,8,29,22,00,00,45,00,00,00,0
0.091303,0220,8,03,04,04,09,00,3c,10,00,0
0.091536,0260,8,22,00,30,ff,93,63,01,00,0
0.091772,02a0,8,00,60,9d,db,0c,ba,02,00,0
0.092007,0316,8,22,cc,0a,22,1a,00,7f,00,0
0.092245,0329,8,a7,7f,8c,11,2f,00,10,00,0
0.092488,0370,8,20,00,80,ff,00,00,a0,00,0
0.092729,0440,8,00,00,00,ff,94,09,00,00,0
0.092967,04f0,8,00,ee,00,00,ce,d2,04,00,0
0.093206,0545,8,0f,00,8c,3f,00,3f,00,00,0
0.093448,04f1,8,16,00,00,00,00,00,00,00,0
0.09371,0690,8,00,01,20,a0,00,2c,08,00,0
0.094549,0153,0,00,00,00,00,00,00,00,00,0
0.094792,0153,8,80,10,ff,00,ff,d0,5e,00,0
0.095043,04b0,8,00,00,00,00,00,00,00,00,0
0.09529,0164,8,08,00,00,00,00,0a,02,00,0
0.095527,0165,8,e8,7f,00,00,00,09,91,00,0
