Timestamp,ID,DLC,Data0,Data1,Data2,Data3,Data4,Data5,Data6,Data7,Label
0.0,0316,8,32,234,10,32,26,0,127,0,0
0.000224,0329,8,167,127,140,17,47,0,16,0,0
0.000462,0080,8,23,234,10,32,26,32,67,0,0
0.000704,0081,8,132,96,0,0,0,0,83,0,0
0.000878,0120,4,0,0,0,0,0,0,0,0,0
0.001115,0153,8,128,16,255,0,255,64,206,0,0
0.001366,018f,8,41,32,0,0,69,0,0,0,0
0.0016,0220,8,3,2,4,12,0,53,16,0,0
0.001684,0153,0,0,0,0,0,0,0,0,0,0
0.001928,0153,8,128,16,255,0,255,64,206,0,0
0.002167,0260,8,32,0,48,255,147,95,53,0,0
0.002402,02a0,8,0,96,157,219,12,186,2,0,0
0.002638,0370,8,32,0,128,255,0,0,236,0,0
0.002882,0382,8,254,15,0,0,0,0,8,0,0
0.003123,043f,8,80,96,255,75,152,9,0,0,0
0.00337,0440,8,240,0,0,255,160,9,0,0,0
0.003617,0517,8,0,0,0,0,0,0,0,0,0
0.003852,0545,8,16,0,140,50,0,50,0,0,0
0.004095,059b,8,0,0,0,0,0,0,196,0,0
0.005486,02b0,5,0,0,7,48,0,0,0,0,0
0.005713,0165,8,232,127,0,0,0,0,152,0,0
0.005957,04b1,8,1,0,0,0,0,0,1,0,0
0.006204,0164,8,8,0,0,0,0,1,9,0,0
0.009778,04f0,8,0,230,0,0,206,210,4,0,0
0.009958,0316,8,32,234,10,32,26,0,127,0,0
0.010193,0329,8,167,127,140,17,47,0,16,0,0
0.010429,0080,8,23,234,10,32,26,32,52,0,0
0.010669,0081,8,132,96,0,0,0,0,68,0,0
0.010908,0153,8,128,16,255,0,255,80,222,0,0
0.01115,018f,8,41,32,0,0,69,0,0,0,0
0.011398,01f1,8,0,0,0,0,0,0,0,0,0
0.011644,0220,8,3,6,4,12,0,58,16,0,0
0.011909,0260,8,32,0,48,255,147,95,8,0,0
0.012119,02a0,8,0,96,157,219,12,186,2,0,0
0.012204,0164,0,0,0,0,0,0,0,0,0,0
0.012458,0164,8,8,0,0,0,0,1,9,0,0
0.0127,0370,8,32,0,128,255,0,0,160,0,0
0.012942,043f,8,80,96,255,75,156,9,0,0,0
0.013188,0440,8,0,0,0,255,160,9,0,0,0
0.013438,0510,8,0,0,0,0,0,0,0,0,0
0.01367,0545,8,16,0,140,50,0,50,0,0,0
0.015432,02b0,5,0,0,7,17,0,0,0,0,0
0.015665,0165,8,232,127,0,0,0,1,153,0,0
0.01591,04b0,8,0,0,0,0,0,0,0,0,0
0.016156,0164,8,8,0,0,0,0,2,10,0,0
0.016897,0350,8,32,36,121,123,0,0,3,0,0
0.019768,04f2,8,0,160,56,0,0,0,243,0,0
0.01995,0370,8,32,0,128,255,0,0,100,0,0
0.02019,043f,8,80,96,255,75,156,9,0,0,0
0.020434,0440,8,80,0,0,255,156,9,0,0,0
0.020672,0153,8,128,16,255,0,255,96,238,0,0
0.020913,0220,8,3,3,4,12,0,62,16,0,0
0.021148,0316,8,32,234,10,32,26,0,127,0,0
0.021381,0329,8,167,127,140,17,47,0,16,0,0
0.021618,0080,8,23,234,10,32,26,32,37,0,0
0.021858,0081,8,132,96,0,0,0,0,53,0,0
0.022108,018f,8,41,32,0,0,69,0,0,0,0
0.02234,0260,8,32,0,48,255,147,97,20,0,0
0.02243,01f1,0,0,0,0,0,0,0,0,0,0
0.022687,01f1,8,0,0,0,0,0,0,0,0,0
0.022927,02a0,8,0,96,157,219,12,186,2,0,0
0.023169,0382,8,254,15,0,0,0,0,12,0,0
0.023404,0545,8,16,0,139,50,0,49,0,0,0
0.025518,02b0,5,0,0,7,114,0,0,0,0,0
0.025701,0165,8,232,127,0,0,0,2,133,0,0
0.025947,04b1,8,1,0,0,0,0,0,1,0,0
0.026197,0164,8,8,0,0,0,0,3,11,0,0
0.029746,04f0,8,0,232,0,0,206,210,4,0,0
0.029956,043f,8,80,96,255,75,152,9,0,0,0
0.030184,0316,8,32,156,10,33,26,0,127,0,0
0.030417,02a0,8,0,96,157,219,12,186,2,0,0
0.030654,0080,8,23,156,10,32,26,33,54,0,0
0.030893,0081,8,132,96,0,0,0,0,38,0,0
0.031133,0153,8,128,16,255,0,255,112,254,0,0
0.031376,018f,8,41,33,0,0,69,0,0,0,0
0.031626,01f1,8,0,0,0,0,0,0,0,0,0
0.031868,0220,8,3,252,3,12,0,62,16,0,0
0.0321,0260,8,33,0,48,255,147,97,34,0,0
0.032343,0329,8,167,127,140,17,47,0,16,0,0
0.032585,0370,8,32,0,128,255,0,0,40,0,0
0.032821,0440,8,160,0,0,255,152,9,0,0,0
0.03291,0220,0,0,0,0,0,0,0,0,0,0
0.033163,0220,8,3,252,3,12,0,62,16,0,0
0.033403,0545,8,16,0,138,50,0,51,0,0,0
0.033657,05a0,8,0,0,0,0,0,0,0,0,0
0.035446,02b0,5,0,0,7,51,0,0,0,0,0
0.035672,0165,8,232,127,0,0,0,3,132,0,0
0.035922,04b0,8,0,0,0,0,0,0,0,0,0
0.036173,0164,8,8,0,0,0,0,4,12,0,0
0.036317,05f0,2,0,0,0,0,0,0,0,0,0
0.036895,0350,8,32,52,121,123,0,0,19,0,0
0.037148,02c0,8,0,0,0,0,0,0,0,0,0
0.039019,05a2,4,0,165,1,0,0,0,0,0,0
0.03984,043f,8,80,96,255,75,148,9,0,0,0
0.040068,0260,8,33,0,48,255,147,97,49,0,0
