Timestamp,ID,DLC,Data0,Data1,Data2,Data3,Data4,Data5,Data6,Data7,Label,data_unique_bytes,data_sum,data_mean,data_std,data_max,data_min,data_range,time_diff,ID_count_10,Data0_bitcount,Data1_bitcount,Data2_bitcount,Data3_bitcount,Data4_bitcount,Data5_bitcount,Data6_bitcount,Data7_bitcount,ID_dec,Data0_norm,Data1_norm,Data2_norm,Data3_norm,Data4_norm,Data5_norm,Data6_norm,Data7_norm
0.0,0316,8,32,234,10,32,26,0,127,0,0,6,461,57.625,82.06606659097464,234,0,234,0.0,1.0,1,5,2,1,3,0,7,0,790,0.06941431670281996,0.5075921908893709,0.021691973969631236,0.06941431670281996,0.05639913232104121,0.0,0.2754880694143167,0.0
0.000224,0329,8,167,127,140,17,47,0,16,0,0,7,514,64.25,69.02121826966379,167,0,167,0.000224,1.0,5,7,3,2,5,0,1,0,809,0.32490272373540857,0.24708171206225682,0.2723735408560311,0.033073929961089495,0.0914396887159533,0.0,0.0311284046692607,0.0
0.000462,0080,8,23,234,10,32,26,32,67,0,0,7,424,53.0,75.71185979941131,234,0,234,0.000238,1.0,4,5,2,1,3,1,3,0,128,0.054245283018867926,0.5518867924528302,0.02358490566037736,0.07547169811320754,0.06132075471698113,0.07547169811320754,0.1580188679245283,0.0
0.000704,0081,8,132,96,0,0,0,0,83,0,0,4,311,38.875,55.341633772155916,132,0,132,0.00024199999999999997,1.0,2,2,0,0,0,0,4,0,129,0.42443729903536975,0.3086816720257235,0.0,0.0,0.0,0.0,0.26688102893890675,0.0
0.001115,0153,8,128,16,255,0,255,64,206,0,0,6,924,115.5,111.16268644263171,255,0,255,0.0004110000000000001,1.0,1,1,8,0,8,1,5,0,339,0.13852813852813853,0.017316017316017316,0.275974025974026,0.0,0.275974025974026,0.06926406926406926,0.22294372294372294,0.0
0.001366,018f,8,41,32,0,0,69,0,0,0,0,4,142,17.75,26.580067720004024,69,0,69,0.0002509999999999999,1.0,3,1,0,0,3,0,0,0,399,0.2887323943661972,0.22535211267605634,0.0,0.0,0.4859154929577465,0.0,0.0,0.0
0.0016,0220,8,3,2,4,12,0,53,16,0,0,7,90,11.25,17.83055162995726,53,0,53,0.00023400000000000005,1.0,2,1,1,2,0,4,1,0,544,0.03333333333333333,0.022222222222222223,0.044444444444444446,0.13333333333333333,0.0,0.5888888888888889,0.17777777777777778,0.0
0.001928,0153,8,128,16,255,0,255,64,206,0,0,6,924,115.5,111.16268644263171,255,0,255,0.00032799999999999995,2.0,1,1,8,0,8,1,5,0,339,0.13852813852813853,0.017316017316017316,0.275974025974026,0.0,0.275974025974026,0.06926406926406926,0.22294372294372294,0.0
0.002167,0260,8,32,0,48,255,147,95,53,0,0,7,630,78.75,86.34110095595095,255,0,255,0.00023900000000000006,1.0,1,0,2,8,4,6,4,0,608,0.050793650793650794,0.0,0.0761904761904762,0.40476190476190477,0.23333333333333334,0.15079365079365079,0.08412698412698413,0.0
0.002402,02a0,8,0,96,157,219,12,186,2,0,0,7,672,84.0,92.67608722241754,219,0,219,0.00023499999999999997,1.0,0,2,5,6,2,5,1,0,672,0.0,0.14285714285714285,0.23363095238095238,0.32589285714285715,0.017857142857142856,0.2767857142857143,0.002976190476190476,0.0
